Analysis,Noise Level (m),Total Area (km²),Flood Area (km²),Flood Area (%),Mean Probability,Max Probability,Pixels > 0.8 Prob
exzeco_20cm,0.2,4913.90771640422,1411.528838593186,28.725180041152264,0.29007304,1.0,181391
exzeco_40cm,0.4,4913.90771640422,1424.2622800136521,28.984310699588477,0.2938452,1.0,153744
exzeco_60cm,0.6,4913.90771640422,1407.3454449354447,28.640046296296298,0.29290408,1.0,141132
exzeco_80cm,0.8,4913.90771640422,1397.7274311181,28.4443158436214,0.291749,1.0,132036
exzeco_100cm,1.0,4913.90771640422,1395.5283057511908,28.399562757201647,0.29071033,1.0,126104
